           ﻿nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Proporsi Remaja Dan Dewasa Usia 15-24 Tahun Dengan Keterampilan Teknologi Informasi Dan Komputer (TIK) Menurut Provinsi";"Tidak Ada";2022;Tahun;95.61;"JAWA BARAT"
"Proporsi Remaja Dan Dewasa Usia 15-24 Tahun Dengan Keterampilan Teknologi Informasi Dan Komputer (TIK) Menurut Provinsi";"Tidak Ada";2022;Tahun;97.44;"JAWA TENGAH"
"Proporsi Remaja Dan Dewasa Usia 15-24 Tahun Dengan Keterampilan Teknologi Informasi Dan Komputer (TIK) Menurut Provinsi";"Tidak Ada";2022;Tahun;98.74;"DI YOGYAKARTA"
"Proporsi Remaja Dan Dewasa Usia 15-24 Tahun Dengan Keterampilan Teknologi Informasi Dan Komputer (TIK) Menurut Provinsi";"Tidak Ada";2022;Tahun;95.34;"JAWA TIMUR"
"Proporsi Remaja Dan Dewasa Usia 15-24 Tahun Dengan Keterampilan Teknologi Informasi Dan Komputer (TIK) Menurut Provinsi";"Tidak Ada";2022;Tahun;94.49;BANTEN
"Proporsi Remaja Dan Dewasa Usia 15-24 Tahun Dengan Keterampilan Teknologi Informasi Dan Komputer (TIK) Menurut Provinsi";"Tidak Ada";2022;Tahun;96.69;BALI
"Proporsi Remaja Dan Dewasa Usia 15-24 Tahun Dengan Keterampilan Teknologi Informasi Dan Komputer (TIK) Menurut Provinsi";"Tidak Ada";2022;Tahun;91.58;"NUSA TENGGARA BARAT"
"Proporsi Remaja Dan Dewasa Usia 15-24 Tahun Dengan Keterampilan Teknologi Informasi Dan Komputer (TIK) Menurut Provinsi";"Tidak Ada";2022;Tahun;77.3;"NUSA TENGGARA TIMUR"
"Proporsi Remaja Dan Dewasa Usia 15-24 Tahun Dengan Keterampilan Teknologi Informasi Dan Komputer (TIK) Menurut Provinsi";"Tidak Ada";2022;Tahun;89.49;"KALIMANTAN BARAT"
"Proporsi Remaja Dan Dewasa Usia 15-24 Tahun Dengan Keterampilan Teknologi Informasi Dan Komputer (TIK) Menurut Provinsi";"Tidak Ada";2022;Tahun;91.32;"KALIMANTAN TENGAH"
"Proporsi Remaja Dan Dewasa Usia 15-24 Tahun Dengan Keterampilan Teknologi Informasi Dan Komputer (TIK) Menurut Provinsi";"Tidak Ada";2022;Tahun;96.28;"KALIMANTAN SELATAN"
"Proporsi Remaja Dan Dewasa Usia 15-24 Tahun Dengan Keterampilan Teknologi Informasi Dan Komputer (TIK) Menurut Provinsi";"Tidak Ada";2022;Tahun;97.57;"KALIMANTAN TIMUR"
"Proporsi Remaja Dan Dewasa Usia 15-24 Tahun Dengan Keterampilan Teknologi Informasi Dan Komputer (TIK) Menurut Provinsi";"Tidak Ada";2022;Tahun;95.31;"KALIMANTAN UTARA"
"Proporsi Remaja Dan Dewasa Usia 15-24 Tahun Dengan Keterampilan Teknologi Informasi Dan Komputer (TIK) Menurut Provinsi";"Tidak Ada";2022;Tahun;91.69;"SULAWESI UTARA"
"Proporsi Remaja Dan Dewasa Usia 15-24 Tahun Dengan Keterampilan Teknologi Informasi Dan Komputer (TIK) Menurut Provinsi";"Tidak Ada";2022;Tahun;86.96;"SULAWESI TENGAH"
"Proporsi Remaja Dan Dewasa Usia 15-24 Tahun Dengan Keterampilan Teknologi Informasi Dan Komputer (TIK) Menurut Provinsi";"Tidak Ada";2022;Tahun;94.81;"SULAWESI SELATAN"
"Proporsi Remaja Dan Dewasa Usia 15-24 Tahun Dengan Keterampilan Teknologi Informasi Dan Komputer (TIK) Menurut Provinsi";"Tidak Ada";2022;Tahun;92.82;"SULAWESI TENGGARA"
"Proporsi Remaja Dan Dewasa Usia 15-24 Tahun Dengan Keterampilan Teknologi Informasi Dan Komputer (TIK) Menurut Provinsi";"Tidak Ada";2022;Tahun;93.06;GORONTALO
"Proporsi Remaja Dan Dewasa Usia 15-24 Tahun Dengan Keterampilan Teknologi Informasi Dan Komputer (TIK) Menurut Provinsi";"Tidak Ada";2022;Tahun;90.41;"SULAWESI BARAT"
"Proporsi Remaja Dan Dewasa Usia 15-24 Tahun Dengan Keterampilan Teknologi Informasi Dan Komputer (TIK) Menurut Provinsi";"Tidak Ada";2022;Tahun;78.51;MALUKU
"Proporsi Remaja Dan Dewasa Usia 15-24 Tahun Dengan Keterampilan Teknologi Informasi Dan Komputer (TIK) Menurut Provinsi";"Tidak Ada";2022;Tahun;77.48;"MALUKU UTARA"
"Proporsi Remaja Dan Dewasa Usia 15-24 Tahun Dengan Keterampilan Teknologi Informasi Dan Komputer (TIK) Menurut Provinsi";"Tidak Ada";2022;Tahun;76.29;"PAPUA BARAT"
"Proporsi Remaja Dan Dewasa Usia 15-24 Tahun Dengan Keterampilan Teknologi Informasi Dan Komputer (TIK) Menurut Provinsi";"Tidak Ada";2022;Tahun;33.06;PAPUA
"Proporsi Remaja Dan Dewasa Usia 15-24 Tahun Dengan Keterampilan Teknologi Informasi Dan Komputer (TIK) Menurut Provinsi";"Tidak Ada";2022;Tahun;93.21;INDONESIA
