           ﻿nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Angka Partisipasi Kasar ( A P K )";"SMP/Mts/Paket B";2022;Tahun;99.85;"KALIMANTAN UTARA"
"Angka Partisipasi Kasar ( A P K )";"SMP/Mts/Paket B";2022;Tahun;89.63;"SULAWESI UTARA"
"Angka Partisipasi Kasar ( A P K )";"SMP/Mts/Paket B";2022;Tahun;92.86;"SULAWESI TENGAH"
"Angka Partisipasi Kasar ( A P K )";"SMP/Mts/Paket B";2022;Tahun;86.19;"SULAWESI SELATAN"
"Angka Partisipasi Kasar ( A P K )";"SMP/Mts/Paket B";2022;Tahun;86.04;"SULAWESI TENGGARA"
"Angka Partisipasi Kasar ( A P K )";"SMP/Mts/Paket B";2022;Tahun;79.37;GORONTALO
"Angka Partisipasi Kasar ( A P K )";"SMP/Mts/Paket B";2022;Tahun;84.58;"SULAWESI BARAT"
"Angka Partisipasi Kasar ( A P K )";"SMP/Mts/Paket B";2022;Tahun;87.85;MALUKU
"Angka Partisipasi Kasar ( A P K )";"SMP/Mts/Paket B";2022;Tahun;88.35;"MALUKU UTARA"
"Angka Partisipasi Kasar ( A P K )";"SMP/Mts/Paket B";2022;Tahun;90.45;"PAPUA BARAT"
"Angka Partisipasi Kasar ( A P K )";"SMP/Mts/Paket B";2022;Tahun;83.51;PAPUA
"Angka Partisipasi Kasar ( A P K )";"SMP/Mts/Paket B";2022;Tahun;92.11;INDONESIA
"Angka Partisipasi Kasar ( A P K )";"SD/MI/Paket A";2022;Tahun;108.34;ACEH
"Angka Partisipasi Kasar ( A P K )";"SD/MI/Paket A";2022;Tahun;108.31;"SUMATERA UTARA"
"Angka Partisipasi Kasar ( A P K )";"SD/MI/Paket A";2022;Tahun;108.47;"SUMATERA BARAT"
"Angka Partisipasi Kasar ( A P K )";"SD/MI/Paket A";2022;Tahun;105.82;RIAU
"Angka Partisipasi Kasar ( A P K )";"SD/MI/Paket A";2022;Tahun;109.55;JAMBI
"Angka Partisipasi Kasar ( A P K )";"SD/MI/Paket A";2022;Tahun;112;"SUMATERA SELATAN"
"Angka Partisipasi Kasar ( A P K )";"SD/MI/Paket A";2022;Tahun;109.23;BENGKULU
"Angka Partisipasi Kasar ( A P K )";"SD/MI/Paket A";2022;Tahun;105.91;LAMPUNG
"Angka Partisipasi Kasar ( A P K )";"SD/MI/Paket A";2022;Tahun;107.26;"KEP. BANGKA BELITUNG"
"Angka Partisipasi Kasar ( A P K )";"SD/MI/Paket A";2022;Tahun;106.26;"KEP. RIAU"
"Angka Partisipasi Kasar ( A P K )";"SD/MI/Paket A";2022;Tahun;103.34;"DKI JAKARTA"
"Angka Partisipasi Kasar ( A P K )";"SD/MI/Paket A";2022;Tahun;104.55;"JAWA BARAT"
"Angka Partisipasi Kasar ( A P K )";"SD/MI/Paket A";2022;Tahun;106.19;"JAWA TENGAH"
"Angka Partisipasi Kasar ( A P K )";"SD/MI/Paket A";2022;Tahun;104.96;"DI YOGYAKARTA"
"Angka Partisipasi Kasar ( A P K )";"SD/MI/Paket A";2022;Tahun;104.68;"JAWA TIMUR"
"Angka Partisipasi Kasar ( A P K )";"SD/MI/Paket A";2022;Tahun;106.89;BANTEN
"Angka Partisipasi Kasar ( A P K )";"SD/MI/Paket A";2022;Tahun;103.16;BALI
"Angka Partisipasi Kasar ( A P K )";"SD/MI/Paket A";2022;Tahun;107.21;"NUSA TENGGARA BARAT"
"Angka Partisipasi Kasar ( A P K )";"SD/MI/Paket A";2022;Tahun;113.36;"NUSA TENGGARA TIMUR"
"Angka Partisipasi Kasar ( A P K )";"SD/MI/Paket A";2022;Tahun;111.84;"KALIMANTAN BARAT"
"Angka Partisipasi Kasar ( A P K )";"SD/MI/Paket A";2022;Tahun;107.39;"KALIMANTAN TENGAH"
"Angka Partisipasi Kasar ( A P K )";"SD/MI/Paket A";2022;Tahun;107.18;"KALIMANTAN SELATAN"
"Angka Partisipasi Kasar ( A P K )";"SD/MI/Paket A";2022;Tahun;105.21;"KALIMANTAN TIMUR"
"Angka Partisipasi Kasar ( A P K )";"SD/MI/Paket A";2022;Tahun;100.7;"KALIMANTAN UTARA"
"Angka Partisipasi Kasar ( A P K )";"SD/MI/Paket A";2022;Tahun;106.48;"SULAWESI UTARA"
"Angka Partisipasi Kasar ( A P K )";"SD/MI/Paket A";2022;Tahun;103.55;"SULAWESI TENGAH"
"Angka Partisipasi Kasar ( A P K )";"SD/MI/Paket A";2022;Tahun;106.71;"SULAWESI SELATAN"
"Angka Partisipasi Kasar ( A P K )";"SD/MI/Paket A";2022;Tahun;108.48;"SULAWESI TENGGARA"
"Angka Partisipasi Kasar ( A P K )";"SD/MI/Paket A";2022;Tahun;108.7;GORONTALO
"Angka Partisipasi Kasar ( A P K )";"SD/MI/Paket A";2022;Tahun;106.08;"SULAWESI BARAT"
"Angka Partisipasi Kasar ( A P K )";"SD/MI/Paket A";2022;Tahun;111.05;MALUKU
"Angka Partisipasi Kasar ( A P K )";"SD/MI/Paket A";2022;Tahun;108.05;"MALUKU UTARA"
"Angka Partisipasi Kasar ( A P K )";"SD/MI/Paket A";2022;Tahun;110.42;"PAPUA BARAT"
"Angka Partisipasi Kasar ( A P K )";"SD/MI/Paket A";2022;Tahun;94.26;PAPUA
"Angka Partisipasi Kasar ( A P K )";"SD/MI/Paket A";2022;Tahun;106.27;INDONESIA
