           ﻿nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Angka Partisipasi Sekolah ( A P S )";16-18;2022;Tahun;70.82;"JAWA TENGAH"
"Angka Partisipasi Sekolah ( A P S )";16-18;2022;Tahun;89.95;"DI YOGYAKARTA"
"Angka Partisipasi Sekolah ( A P S )";16-18;2022;Tahun;73.4;"JAWA TIMUR"
"Angka Partisipasi Sekolah ( A P S )";16-18;2022;Tahun;69.22;BANTEN
"Angka Partisipasi Sekolah ( A P S )";16-18;2022;Tahun;83.84;BALI
"Angka Partisipasi Sekolah ( A P S )";16-18;2022;Tahun;77.43;"NUSA TENGGARA BARAT"
"Angka Partisipasi Sekolah ( A P S )";16-18;2022;Tahun;75.55;"NUSA TENGGARA TIMUR"
"Angka Partisipasi Sekolah ( A P S )";16-18;2022;Tahun;68.72;"KALIMANTAN BARAT"
"Angka Partisipasi Sekolah ( A P S )";16-18;2022;Tahun;66.32;"KALIMANTAN TENGAH"
"Angka Partisipasi Sekolah ( A P S )";16-18;2022;Tahun;69.88;"KALIMANTAN SELATAN"
"Angka Partisipasi Sekolah ( A P S )";16-18;2022;Tahun;81.43;"KALIMANTAN TIMUR"
"Angka Partisipasi Sekolah ( A P S )";16-18;2022;Tahun;76.5;"KALIMANTAN UTARA"
"Angka Partisipasi Sekolah ( A P S )";16-18;2022;Tahun;74.33;"SULAWESI UTARA"
"Angka Partisipasi Sekolah ( A P S )";16-18;2022;Tahun;75.84;"SULAWESI TENGAH"
"Angka Partisipasi Sekolah ( A P S )";16-18;2022;Tahun;70.81;"SULAWESI SELATAN"
"Angka Partisipasi Sekolah ( A P S )";16-18;2022;Tahun;74.53;"SULAWESI TENGGARA"
"Angka Partisipasi Sekolah ( A P S )";16-18;2022;Tahun;71.68;GORONTALO
"Angka Partisipasi Sekolah ( A P S )";16-18;2022;Tahun;70.85;"SULAWESI BARAT"
"Angka Partisipasi Sekolah ( A P S )";16-18;2022;Tahun;79.03;MALUKU
"Angka Partisipasi Sekolah ( A P S )";16-18;2022;Tahun;77.7;"MALUKU UTARA"
"Angka Partisipasi Sekolah ( A P S )";16-18;2022;Tahun;80.56;"PAPUA BARAT"
"Angka Partisipasi Sekolah ( A P S )";16-18;2022;Tahun;65.93;PAPUA
"Angka Partisipasi Sekolah ( A P S )";16-18;2022;Tahun;73.15;INDONESIA
"Angka Partisipasi Sekolah ( A P S )";13-15;2022;Tahun;97.96;ACEH
"Angka Partisipasi Sekolah ( A P S )";13-15;2022;Tahun;96.78;"SUMATERA UTARA"
"Angka Partisipasi Sekolah ( A P S )";13-15;2022;Tahun;96.52;"SUMATERA BARAT"
"Angka Partisipasi Sekolah ( A P S )";13-15;2022;Tahun;95.72;RIAU
"Angka Partisipasi Sekolah ( A P S )";13-15;2022;Tahun;96.2;JAMBI
"Angka Partisipasi Sekolah ( A P S )";13-15;2022;Tahun;95.06;"SUMATERA SELATAN"
"Angka Partisipasi Sekolah ( A P S )";13-15;2022;Tahun;97.73;BENGKULU
"Angka Partisipasi Sekolah ( A P S )";13-15;2022;Tahun;95.63;LAMPUNG
"Angka Partisipasi Sekolah ( A P S )";13-15;2022;Tahun;93;"KEP. BANGKA BELITUNG"
"Angka Partisipasi Sekolah ( A P S )";13-15;2022;Tahun;99.01;"KEP. RIAU"
"Angka Partisipasi Sekolah ( A P S )";13-15;2022;Tahun;97.95;"DKI JAKARTA"
"Angka Partisipasi Sekolah ( A P S )";13-15;2022;Tahun;95.27;"JAWA BARAT"
"Angka Partisipasi Sekolah ( A P S )";13-15;2022;Tahun;96.77;"JAWA TENGAH"
"Angka Partisipasi Sekolah ( A P S )";13-15;2022;Tahun;99.01;"DI YOGYAKARTA"
"Angka Partisipasi Sekolah ( A P S )";13-15;2022;Tahun;97.64;"JAWA TIMUR"
"Angka Partisipasi Sekolah ( A P S )";13-15;2022;Tahun;96.39;BANTEN
"Angka Partisipasi Sekolah ( A P S )";13-15;2022;Tahun;97.85;BALI
"Angka Partisipasi Sekolah ( A P S )";13-15;2022;Tahun;97.74;"NUSA TENGGARA BARAT"
"Angka Partisipasi Sekolah ( A P S )";13-15;2022;Tahun;94.83;"NUSA TENGGARA TIMUR"
"Angka Partisipasi Sekolah ( A P S )";13-15;2022;Tahun;92.64;"KALIMANTAN BARAT"
"Angka Partisipasi Sekolah ( A P S )";13-15;2022;Tahun;94.61;"KALIMANTAN TENGAH"
"Angka Partisipasi Sekolah ( A P S )";13-15;2022;Tahun;94.01;"KALIMANTAN SELATAN"
"Angka Partisipasi Sekolah ( A P S )";13-15;2022;Tahun;98.75;"KALIMANTAN TIMUR"
"Angka Partisipasi Sekolah ( A P S )";13-15;2022;Tahun;97.03;"KALIMANTAN UTARA"
"Angka Partisipasi Sekolah ( A P S )";13-15;2022;Tahun;94.86;"SULAWESI UTARA"
"Angka Partisipasi Sekolah ( A P S )";13-15;2022;Tahun;93.02;"SULAWESI TENGAH"
"Angka Partisipasi Sekolah ( A P S )";13-15;2022;Tahun;93.2;"SULAWESI SELATAN"
"Angka Partisipasi Sekolah ( A P S )";13-15;2022;Tahun;94.8;"SULAWESI TENGGARA"
"Angka Partisipasi Sekolah ( A P S )";13-15;2022;Tahun;91.83;GORONTALO
"Angka Partisipasi Sekolah ( A P S )";13-15;2022;Tahun;89.39;"SULAWESI BARAT"
"Angka Partisipasi Sekolah ( A P S )";13-15;2022;Tahun;97.69;MALUKU
"Angka Partisipasi Sekolah ( A P S )";13-15;2022;Tahun;97.59;"MALUKU UTARA"
"Angka Partisipasi Sekolah ( A P S )";13-15;2022;Tahun;97.37;"PAPUA BARAT"
"Angka Partisipasi Sekolah ( A P S )";13-15;2022;Tahun;81.66;PAPUA
"Angka Partisipasi Sekolah ( A P S )";13-15;2022;Tahun;95.92;INDONESIA
"Angka Partisipasi Sekolah ( A P S )";7-12;2022;Tahun;99.44;ACEH
"Angka Partisipasi Sekolah ( A P S )";7-12;2022;Tahun;99.5;"SUMATERA UTARA"
"Angka Partisipasi Sekolah ( A P S )";7-12;2022;Tahun;99.55;"SUMATERA BARAT"
"Angka Partisipasi Sekolah ( A P S )";7-12;2022;Tahun;99.61;RIAU
"Angka Partisipasi Sekolah ( A P S )";7-12;2022;Tahun;99.33;JAMBI
"Angka Partisipasi Sekolah ( A P S )";7-12;2022;Tahun;99.38;"SUMATERA SELATAN"
"Angka Partisipasi Sekolah ( A P S )";7-12;2022;Tahun;99.49;BENGKULU
"Angka Partisipasi Sekolah ( A P S )";7-12;2022;Tahun;99.56;LAMPUNG
"Angka Partisipasi Sekolah ( A P S )";7-12;2022;Tahun;99.41;"KEP. BANGKA BELITUNG"
"Angka Partisipasi Sekolah ( A P S )";7-12;2022;Tahun;99.28;"KEP. RIAU"
"Angka Partisipasi Sekolah ( A P S )";7-12;2022;Tahun;99.44;"DKI JAKARTA"
"Angka Partisipasi Sekolah ( A P S )";7-12;2022;Tahun;99.39;"JAWA BARAT"
"Angka Partisipasi Sekolah ( A P S )";7-12;2022;Tahun;99.58;"JAWA TENGAH"
"Angka Partisipasi Sekolah ( A P S )";7-12;2022;Tahun;99.59;"DI YOGYAKARTA"
"Angka Partisipasi Sekolah ( A P S )";7-12;2022;Tahun;99.14;"JAWA TIMUR"
"Angka Partisipasi Sekolah ( A P S )";7-12;2022;Tahun;99.33;BANTEN
"Angka Partisipasi Sekolah ( A P S )";7-12;2022;Tahun;99.55;BALI
"Angka Partisipasi Sekolah ( A P S )";7-12;2022;Tahun;99.17;"NUSA TENGGARA BARAT"
"Angka Partisipasi Sekolah ( A P S )";7-12;2022;Tahun;98.59;"NUSA TENGGARA TIMUR"
"Angka Partisipasi Sekolah ( A P S )";7-12;2022;Tahun;98.73;"KALIMANTAN BARAT"
"Angka Partisipasi Sekolah ( A P S )";7-12;2022;Tahun;99.2;"KALIMANTAN TENGAH"
"Angka Partisipasi Sekolah ( A P S )";7-12;2022;Tahun;99.43;"KALIMANTAN SELATAN"
"Angka Partisipasi Sekolah ( A P S )";7-12;2022;Tahun;99.57;"KALIMANTAN TIMUR"
"Angka Partisipasi Sekolah ( A P S )";7-12;2022;Tahun;98.98;"KALIMANTAN UTARA"
"Angka Partisipasi Sekolah ( A P S )";7-12;2022;Tahun;99.34;"SULAWESI UTARA"
"Angka Partisipasi Sekolah ( A P S )";7-12;2022;Tahun;98.22;"SULAWESI TENGAH"
"Angka Partisipasi Sekolah ( A P S )";7-12;2022;Tahun;99.43;"SULAWESI SELATAN"
"Angka Partisipasi Sekolah ( A P S )";7-12;2022;Tahun;99.05;"SULAWESI TENGGARA"
"Angka Partisipasi Sekolah ( A P S )";7-12;2022;Tahun;98.93;GORONTALO
"Angka Partisipasi Sekolah ( A P S )";7-12;2022;Tahun;98.4;"SULAWESI BARAT"
"Angka Partisipasi Sekolah ( A P S )";7-12;2022;Tahun;99.55;MALUKU
"Angka Partisipasi Sekolah ( A P S )";7-12;2022;Tahun;99.13;"MALUKU UTARA"
"Angka Partisipasi Sekolah ( A P S )";7-12;2022;Tahun;98.27;"PAPUA BARAT"
"Angka Partisipasi Sekolah ( A P S )";7-12;2022;Tahun;84.35;PAPUA
"Angka Partisipasi Sekolah ( A P S )";7-12;2022;Tahun;99.1;INDONESIA
